duration,protocol,service,src_bytes,dst_bytes,packet_count,flow_bytes_per_sec,flow_packets_per_sec,failed_login_count,same_srv_rate,serror_rate,rerror_rate,Label
8.323,TCP,smtp,1868,1183,717,366.575,86.147,0,0.672,0.102,0.089,Benign
7.057,TCP,https,4971,257,3441,740.825,487.601,0,0.376,0.107,0.07,Benign
24.194,TCP,other,3502,2827,842,261.594,34.802,0,0.274,0.032,0.076,Benign
8.009,UDP,ssh,395,6017,650,800.599,81.159,0,0.642,0.019,0.092,Benign
1.815,ICMP,other,13601,1442,2375,8288.154,1308.54,0,0.988,0.581,0.281,DDoS
40.577,TCP,ssh,6177,1432,4995,187.52,123.099,52,0.708,0.278,0.318,Brute Force
13.922,TCP,https,2251,7620,463,709.022,33.257,0,0.383,0.084,0.068,Benign
8.105,UDP,ftp,1768,7520,4094,1145.959,505.12,0,0.517,0.131,0.031,Benign
21.926,UDP,https,8581,49823,4785,2663.687,218.234,4,0.52,0.212,0.237,Web Attack
14.856,TCP,ssh,425,7094,3463,506.125,233.104,0,0.677,0.094,0.079,Benign
15.921,ICMP,ftp,4572,7091,4403,732.554,276.553,0,0.801,0.102,0.011,Benign
1.475,UDP,http,11365,929,2162,8334.915,1465.763,0,0.978,0.551,0.303,DoS
4.354,ICMP,http,20558,1723,1257,5117.363,288.7,0,0.499,0.838,0.263,DoS
18.008,ICMP,http,4042,199,2524,235.506,140.16,0,0.392,0.054,0.099,Benign
2.661,ICMP,http,4021,6724,1056,4037.956,396.843,0,0.728,0.114,0.077,Benign
167.749,TCP,dns,20376,14365,1652,207.101,9.848,1,0.77,0.707,0.39,Botnet
11.265,ICMP,smtp,4279,3738,4824,711.673,428.229,0,0.643,0.034,0.034,Benign
21.264,TCP,http,522,1915,4216,114.607,198.269,0,0.39,0.005,0.033,Benign
4.056,TCP,ssh,4717,4760,1564,2336.538,385.602,0,0.275,0.118,0.081,Benign
12.392,UDP,ftp,483,5556,2784,487.331,224.661,0,0.84,0.097,0.006,Benign
16.135,TCP,https,1188,3496,622,290.301,38.55,0,0.555,0.069,0.087,Benign
15.565,ICMP,ssh,9056,220,3334,595.952,214.199,16,0.589,0.563,0.389,Brute Force
5.023,UDP,http,57,3238,3470,655.982,690.822,0,0.757,0.118,0.046,Benign
3.595,ICMP,smtp,11144,388,4749,3207.789,1321.001,0,0.789,0.684,0.389,DoS
1.599,UDP,http,3945,4159,4165,5068.168,2604.753,0,0.264,0.08,0.006,Benign
20.289,ICMP,http,1966,3347,4875,261.866,240.278,0,0.232,0.134,0.025,Benign
17.0,ICMP,ssh,2631,7697,2180,607.529,128.235,0,0.517,0.1,0.031,Benign
9.554,UDP,ftp,634,116,605,78.501,63.324,0,0.63,0.15,0.1,Benign
26.438,TCP,dns,2041,3067,2483,193.207,93.918,0,0.689,0.066,0.054,Benign
33.677,ICMP,ssh,108099,73692,1105,5398.076,32.812,4,0.412,0.612,0.147,Infiltration
27.099,ICMP,ftp,4816,1825,4145,245.064,152.958,48,0.591,0.202,0.304,Brute Force
51.108,TCP,https,9566,3889,1328,263.266,25.984,0,0.793,0.15,0.083,Web Attack
0.389,UDP,ssh,656,7781,3029,21688.946,7786.632,0,0.666,0.136,0.055,Benign
9.317,TCP,http,366,7403,2902,833.852,311.474,0,0.824,0.102,0.067,Benign
92.443,UDP,ftp,4078,1431,3377,59.593,36.531,27,0.842,0.541,0.06,Brute Force
